-0.06,0.51,0.85,133,88,70,54,52,844,0,1,1,1
-0.09,0.52,0.83,128,90,70,56,58,844,0,1,1,1
-0.05,0.52,0.83,139,88,72,44,58,842,0,1,1,1
-0.07,0.52,0.84,136,88,72,51,58,844,0,1,1,1
-0.04,0.55,0.80,133,88,72,44,58,843,0,1,1,1
-0.04,0.57,0.81,133,88,74,49,56,843,0,1,1,1
-0.05,0.57,0.82,139,88,64,51,58,844,0,1,1,1
-0.06,0.56,0.81,133,90,70,51,58,843,0,1,1,1
-0.06,0.57,0.80,133,88,66,54,60,844,0,1,1,1
-0.06,0.55,0.81,133,88,70,51,58,844,0,1,1,1
-0.07,0.57,0.80,133,78,72,51,60,844,0,1,1,1
-0.07,0.55,0.82,136,90,72,58,58,844,0,1,1,1
-0.05,0.54,0.81,130,85,70,54,62,844,0,1,1,1
-0.06,0.54,0.82,133,88,72,58,58,843,0,1,1,1
-0.06,0.55,0.81,119,90,72,54,58,847,0,1,1,1
-0.06,0.55,0.80,133,88,78,51,58,844,0,1,1,1
-0.07,0.54,0.82,128,88,74,51,62,846,0,1,1,1
-0.06,0.56,0.83,130,90,74,56,58,844,0,1,1,1
-0.06,0.55,0.84,133,90,76,51,60,844,0,1,1,1
-0.05,0.54,0.81,130,92,72,54,48,843,0,1,1,1
-0.02,0.55,0.82,130,92,70,61,58,844,0,1,1,1
-0.05,0.54,0.82,139,88,74,54,56,844,0,1,1,1
-0.04,0.54,0.82,133,90,74,58,58,844,0,1,1,1
-0.04,0.53,0.84,133,90,74,44,60,842,0,1,1,1
-0.03,0.54,0.83,136,88,76,54,58,843,0,1,1,1
-0.03,0.54,0.82,128,90,66,54,60,843,0,1,1,1
-0.02,0.55,0.82,125,90,74,54,58,842,0,1,1,1
-0.05,0.54,0.81,122,90,66,56,58,844,0,1,1,1
-0.03,0.54,0.82,125,90,74,54,64,844,0,1,1,1
-0.04,0.53,0.81,125,88,72,54,60,844,0,1,1,1
-0.06,0.48,0.84,128,90,76,58,60,844,0,1,1,1
-0.06,0.47,0.81,128,83,76,56,64,844,0,1,1,1
-0.07,0.46,0.94,130,90,76,58,62,843,0,1,1,1
-0.04,0.43,0.91,119,88,76,58,64,845,0,1,1,1
-0.04,0.41,0.88,122,95,76,56,70,844,0,1,1,1
-0.03,0.43,0.90,122,90,78,56,66,847,0,1,1,1
-0.03,0.44,0.88,125,92,82,54,64,844,0,1,1,1
-0.03,0.41,0.88,128,92,78,51,68,845,0,1,1,1
-0.05,0.42,0.90,128,97,76,56,60,844,0,1,1,1
-0.03,0.43,0.88,130,92,78,56,64,843,0,1,1,1
-0.03,0.41,0.89,128,92,78,56,62,844,0,1,1,1
-0.11,0.46,0.91,125,95,74,58,64,844,0,1,1,1
-0.06,0.43,0.91,130,90,76,44,64,844,0,1,1,1
-0.02,0.42,0.88,130,92,78,56,64,844,0,1,1,1
-0.03,0.45,0.89,130,95,78,54,64,842,0,1,1,1
-0.04,0.46,0.87,133,92,80,56,64,843,0,1,1,1
-0.06,0.45,0.87,128,92,70,54,64,843,0,1,1,1
-0.08,0.44,0.90,130,95,76,56,66,844,0,1,1,1
-0.07,0.45,0.88,128,95,70,58,66,844,0,1,1,1
-0.06,0.45,0.87,130,95,76,56,70,844,0,1,1,1
-0.05,0.46,0.87,130,88,76,56,66,844,0,1,1,1
-0.06,0.44,0.87,133,95,78,56,66,844,0,1,1,1
-0.04,0.45,0.88,139,88,78,58,68,844,0,1,1,1
-0.05,0.45,0.88,141,95,76,61,64,842,0,1,1,1
-0.07,0.44,0.87,133,92,76,56,64,844,0,1,1,1
-0.06,0.44,0.88,133,95,80,56,66,844,0,1,1,1
-0.09,0.42,0.90,136,95,78,61,64,847,0,1,1,1
-0.08,0.45,0.86,136,97,82,56,66,844,0,1,1,1
-0.08,0.45,0.86,136,97,78,54,70,846,0,1,1,1
-0.09,0.44,0.87,136,97,82,54,66,844,0,1,1,1
-0.10,0.46,0.84,139,97,78,51,68,844,0,1,1,1
-0.13,0.48,0.84,133,104,76,54,60,844,0,1,1,1
-0.09,0.48,0.86,133,97,76,54,70,844,0,1,1,1
-0.08,0.49,0.84,139,97,78,49,62,844,0,1,1,1
-0.12,0.46,0.87,172,102,78,61,66,844,0,1,1,1
-0.10,0.48,0.84,111,102,74,47,60,844,0,1,1,1
-0.11,0.47,0.89,72,102,76,51,66,844,0,1,1,1
-0.11,0.49,0.85,105,104,76,49,64,844,0,1,1,1
-0.13,0.48,0.84,116,104,80,58,62,842,0,1,1,1
-0.12,0.50,0.83,78,104,78,56,62,847,0,1,1,1
-0.10,0.53,0.81,116,106,80,51,64,843,0,1,1,1
-0.19,0.39,0.87,111,104,82,56,64,843,0,1,1,1
-0.21,0.45,0.87,139,104,76,49,66,844,0,1,1,1
-0.10,0.38,0.86,133,104,80,51,66,843,0,1,1,1
-0.12,0.39,0.90,116,106,68,51,66,843,0,1,1,1
-0.11,0.41,0.89,114,109,80,51,70,845,0,1,1,1
-0.08,0.39,0.92,116,104,80,54,64,844,0,1,1,1
-0.11,0.38,0.90,116,106,80,61,66,844,0,1,1,1
-0.12,0.40,0.89,122,106,86,47,72,844,0,1,1,1
-0.12,0.39,0.92,139,109,76,54,56,844,0,1,1,1
-0.12,0.40,0.90,119,109,80,54,66,844,0,1,1,1
-0.06,0.31,0.94,119,109,80,51,66,844,0,1,1,1
-0.07,0.31,0.95,108,113,80,54,72,845,0,1,1,1
-0.06,0.30,0.93,116,102,82,54,66,844,0,1,1,1
-0.03,0.29,0.95,116,106,82,61,68,842,0,1,1,1
-0.07,0.26,0.97,105,109,82,61,66,847,0,1,1,1
-0.10,0.26,0.97,122,109,86,56,68,844,0,1,1,1
-0.08,0.26,0.96,122,109,82,61,66,844,0,1,1,1
-0.11,0.37,0.91,150,106,80,54,66,844,0,1,1,1
-0.22,0.47,0.87,139,106,80,56,68,844,0,1,1,1
-0.17,0.57,0.77,130,109,68,54,68,844,0,1,1,1
-0.16,0.57,0.79,133,106,80,54,74,844,0,1,1,1
-0.16,0.56,0.79,119,109,80,54,68,844,0,1,1,1
-0.14,0.57,0.76,125,109,84,54,70,844,0,1,1,1
-0.15,0.55,0.79,128,109,84,51,68,843,0,1,1,1
-0.16,0.56,0.79,136,106,80,44,68,844,0,1,1,1
-0.16,0.56,0.80,139,106,82,54,68,843,0,1,1,1
-0.13,0.59,0.77,136,109,74,54,68,845,0,1,1,1
-0.18,0.58,0.79,133,109,80,56,70,844,0,1,1,1
-0.15,0.53,0.77,119,109,80,56,64,844,0,1,1,1
